Kareem Abdul-Jabbar, 38387
Karl Malone, 36928
Kobe Bryant, 33643
Michael Jordan, 32292
Wilt Chamberlain, 31419
Julius Erving, 30026
Dirk Nowitzki, 29907
Moses Malone, 29580
Shaquille O'Neal, 28596
LeBron James, 28178
Dan Issel, 27482
Elvin Hayes, 27313
Hakeem Olajuwon, 26946
Oscar Robertson,26710
Dominique Wilkins, 26668
George Gervin, 26595
Tim Duncan, 26496
John Havlicek, 26395
Paul Pierce, 26364
Kevin Garnett, 26071
Alex English, 25613
Rick Barry, 25279
Reggie Miller, 25279
Jerry West, 25192
Artis Gilmore, 24941
Patrick Ewing, 24815
Ray Allen, 24505
Vince Carter, 24371
Allen Iverson, 24368
Carmelo Anthony, 23805
Charles Barkley, 23757
Robert Parish, 23334
Adrian Dantley, 23177
Elgin Baylor, 23149
Clyde Drexler, 22195
Gary Payton, 21813
Larry Bird,21791
Hal Greer, 21586
Dwyane Wade, 21139
Walt Bellamy, 20941
Bob Pettit, 20880
David Robinson, 20790
Mitch Richmond, 20497
Tom Chambers, 20049
Antawn Jamison, 20042
Joe Johnson, 19795
John Stockton, 19711
Pau Gasol, 19666
Bernard King, 19655
Clifford Robinson, 19591
Walter Davis, 19521
Terry Cummings, 19460
Bob Lanier, 19248
Eddie Johnson, 19202
Gail Goodrich, 19181
Reggie Theus, 19015
Kevin Durant, 19008
Dale Ellis, 19004
Scottie Pippen, 18940
Chet Walker, 18831
Isiah Thomas, 18822
Bob McAdoo, 18787
Jason Terry, 18577
Mark Aguirre, 18458
Dolph Schayes, 18438
Tracy McGrady, 18381
Tony Parker, 18341
Glen Rice, 18336
Dave Bing, 18327
World B. Free, 17955
Calvin Murphy, 17949
Lou Hudson, 17940
Chris Mullin, 17911
Lenny Wilkens, 17772
Jamal Crawford, 17770
Bailey Howell, 17770
Magic Johnson, 17707
Shawn Marion, 17700
Rolando Blackman, 17623
Otis Thorpe, 17600
Jason Kidd, 17529
Earl Monroe, 17454
Ron Boone, 17437
Zach Randolph, 17399
Steve Nash, 17387
Kevin McHale, 17335
Michael Finley, 17306
Jack Sikma, 17287
Kevin Willis, 17253
Jeff Malone, 17231
Chris Bosh, 17189
Chris Webber, 17182
Grant Hill, 17137
Spencer Haywood, 17111
George McGinnis, 17009
Bob Cousy, 16960
Elton Brand, 16827
Buck Williams, 16784
Latrell Sprewell, 16712
Tiny Archibald, 16481
